tipo_de_compressao,saida,taxa_pct,tempo_s,mem_pico_B
komm-lz77-4k,85296,55.181694086289326,2.1604216829998677,14565851
komm-lz77-8k,80694,52.2044600285949,2.4029348899998695,13446343
komm-lz77-16k,76743,49.64838619940093,3.0372418750000634,12734811
komm-lz77-32k,73569,47.594987481642974,4.147213080000029,12032735
komm-lz77-64k,71971,46.56117174409503,6.188376022000057,11939571
komm-huff,91989,59.51168703460501,0.8398544320000383,11995225
komm-fano,92086,59.57444055559509,0.8594692849999319,12279440
komm-shannon,100585,65.07281349265396,0.8454122729999654,13117587
komm-tuns,113106,73.17319324849747,4.442120622999937,140866864
komm-lz78,80259,51.923039599412576,0.6466256630001226,13456108
komm-lzw,62525,40.45014329798865,0.5446260480000547,15952632
